ID,Date,Element,Data_Value
UKM00003257,2013-06-25,TMAX,183
NLE00113670,2013-03-22,TMIN,2
UKW00035047,2008-10-31,TMIN,0
UKM00003257,2013-04-01,TMIN,-7
NLE00113724,2010-10-22,TMAX,130
UKM00003740,2013-12-18,TMIN,33
NLE00113670,2013-10-04,TMAX,165
NLE00113670,2013-10-04,TMIN,147
NLE00113736,2010-09-01,TMAX,158
NLE00113724,2005-12-01,TMIN,67
NLE00113706,2015-09-04,TMAX,158
UK000003377,2007-05-01,TMIN,60
UKW00035047,2014-11-02,TMAX,158
NLE00113736,2012-12-18,TMIN,71
UKM00003740,2012-11-15,TMIN,20
NLE00113736,2007-07-11,TMAX,170
UKM00003740,2005-08-09,TMIN,112
UK000000000,2010-10-01,TMIN,109
UK000000000,2010-11-17,TMIN,-2
NLE00113706,2010-09-02,TMIN,144
UKM00003590,2012-02-25,TMIN,0
NLE00113676,2011-02-28,TMIN,23
NLE00113670,2011-06-17,TMIN,104
NLE00113670,2014-12-10,TMAX,105
NLE00113724,2012-05-24,TMAX,142
NLE00113670,2014-05-10,TMIN,92
UKM00003740,2013-11-06,TMIN,80
UK000000000,2011-07-07,TMIN,113
UKM00003740,2010-11-01,TMAX,125
UK000000000,2014-04-09,TMAX,139
UK000000000,2007-08-13,TMAX,196
UKM00003257,2013-05-09,TMIN,58
UK000000000,2006-12-17,TMAX,82
UKM00003590,2006-09-07,TMAX,185
UK000000000,2006-12-17,TMIN,26
UK000003377,2007-07-01,TMAX,200
NLE00113706,2014-10-09,TMAX,163
UKM00003740,2013-05-28,TMAX,96
UKM00003257,2006-09-03,TMAX,211
NLE00113724,2005-12-01,TMAX,95
UKM00003740,2005-09-25,TMAX,194
UK000003377,2006-01-24,TMAX,40
NLE00113736,2005-08-07,TMAX,159
UKM00003257,2007-01-27,TMIN,0
NLE00113676,2010-10-01,TMIN,138
UKM00003590,2014-06-13,TMAX,234
NLE00113736,2011-01-15,TMIN,68
UKW00035047,2005-05-22,TMIN,82
UKW00035047,2014-08-01,TMIN,145
UK000000000,2007-08-13,TMIN,108
UKM00003257,2006-09-03,TMIN,134
NLE00113676,2010-06-19,TMIN,96
NLE00113706,2014-03-20,TMIN,74
UKM00003740,2009-06-21,TMIN,101
UK000003377,2013-07-11,TMIN,99
NLE00113670,2011-06-17,TMAX,136
UKM00003772,2014-11-11,TMIN,94
UKM00003772,2015-03-11,TMAX,139
NLE00113736,2014-06-27,TMAX,171
NLE00113706,2013-10-04,TMIN,151
NLE00113706,2014-10-09,TMIN,143
UKM00003772,2005-09-21,TMAX,211
NLE00113736,2009-03-09,TMAX,71
NLE00113736,2009-03-09,TMIN,44
UKM00003590,2011-03-07,TMAX,82
UKM00003772,2005-12-03,TMAX,105
UKM00003740,2009-12-13,TMIN,25
NLE00113706,2013-10-11,TMAX,143
NLE00113736,2015-12-02,TMAX,129
NLE00113724,2012-05-24,TMIN,111
UKM00003772,2009-05-27,TMAX,164
NLE00113724,2011-02-23,TMAX,57
UK000000000,2012-10-22,TMAX,135
UKM00003772,2008-09-02,TMIN,0
NLE00113706,2010-06-15,TMAX,131
NLE00113736,2005-11-18,TMAX,100
UKM00003257,2015-05-09,TMAX,134
UK000000000,2007-07-28,TMAX,198
UKW00035047,2006-11-11,TMAX,121
NLE00113706,2013-10-04,TMAX,171
NLE00113736,2009-02-05,TMIN,5
NLE00113670,2010-07-18,TMIN,149
NLE00113724,2005-03-20,TMIN,45
UK000000000,2010-07-01,TMIN,128
NLE00113676,2009-12-31,TMAX,57
UKM00003590,2012-09-21,TMAX,162
UKW00035047,2009-05-25,TMIN,0
UKM00003772,2009-05-26,TMAX,178
UKM00003590,2015-07-12,TMIN,140
NLE00113736,2014-06-13,TMAX,179
UKM00003740,2011-07-04,TMAX,245
UKM00003590,2010-01-30,TMAX,23
NLE00113706,2013-02-06,TMIN,28
UKM00003590,2011-02-01,TMIN,-34
NLE00113706,2015-11-02,TMIN,106
NLE00113706,2012-06-17,TMAX,145
UKM00003740,2015-08-27,TMAX,188
NLE00113676,2013-10-10,TMAX,131
NLE00113676,2013-10-10,TMIN,92
NLE00113676,2012-12-20,TMIN,45
NLE00113676,2010-07-29,TMIN,150
UKM00003772,2011-02-04,TMIN,82
NLE00113706,2010-10-15,TMIN,100
NLE00113676,2012-12-20,TMAX,68
UK000000000,2014-07-10,TMAX,223
UKM00003772,2013-08-26,TMIN,149
NLE00113670,2012-12-04,TMAX,74
UKM00003257,2015-03-24,TMIN,-35
UKM00003772,2007-08-23,TMAX,183
UKM00003740,2007-04-22,TMAX,201
NLE00113706,2014-08-22,TMAX,153
NLE00113736,2005-08-12,TMIN,123
NLE00113736,2005-08-12,TMAX,189
NLE00113670,2012-04-10,TMAX,81
UK000003377,2008-09-07,TMIN,132
NLE00113670,2010-04-28,TMAX,110
NLE00113736,2011-08-15,TMAX,181
NLE00113706,2013-02-06,TMAX,55
NLE00113736,2007-10-13,TMAX,150
UKM00003772,2009-05-26,TMIN,-15
NLE00113724,2010-10-22,TMIN,109
UKM00003772,2009-07-23,TMAX,228
UK000000000,2014-07-26,TMAX,222
NLE00113670,2015-06-16,TMIN,110
UKM00003772,2012-01-31,TMAX,23
UK000003377,2005-04-12,TMIN,49
NLE00113724,2014-08-05,TMAX,190
UK000003377,2007-08-04,TMIN,146
UKW00035047,2005-10-10,TMAX,226
UKW00035047,2010-01-10,TMAX,20
UKM00003740,2007-04-22,TMIN,67
NLE00113736,2014-06-13,TMIN,145
NLE00113670,2013-06-04,TMIN,95
UKW00035047,2005-01-30,TMAX,70
UKW00035047,2012-03-28,TMIN,38
NLE00113670,2014-12-10,TMIN,53
NLE00113676,2015-08-30,TMAX,182
UKM00003772,2009-04-21,TMIN,-25
UK000000000,2014-07-26,TMIN,136
NLE00113724,2011-04-25,TMAX,134
UK000003377,2015-08-16,TMAX,197
UKM00003257,2009-10-20,TMIN,0
NLE00113736,2005-08-25,TMIN,116
NLE00113736,2011-08-15,TMIN,164
UK000000000,2011-08-08,TMAX,190
UKM00003772,2014-01-08,TMIN,67
NLE00113706,2015-11-02,TMAX,125
NLE00113736,2005-08-07,TMIN,131
UK000000000,2011-08-08,TMIN,94
NLE00113670,2015-06-14,TMAX,122
UKM00003257,2009-05-08,TMAX,137
UKW00035047,2009-11-18,TMIN,90
UKM00003772,2009-04-08,TMAX,161
UK000003377,2006-11-12,TMIN,62
NLE00113724,2010-04-29,TMAX,114
NLE00113670,2012-12-04,TMIN,30
UKM00003257,2009-08-12,TMAX,213
UK000000000,2010-07-18,TMIN,101
NLE00113736,2010-07-16,TMIN,160
UKM00003590,2014-05-20,TMAX,217
UKM00003590,2010-07-06,TMAX,212
UK000000000,2010-11-17,TMAX,94
UKM00003590,2005-12-25,TMIN,0
NLE00113736,2013-08-10,TMAX,183
UKW00035047,2010-04-23,TMIN,20
UKM00003590,2011-03-07,TMIN,-10
NLE00113676,2009-01-01,TMIN,40
UK000000000,2007-08-12,TMAX,196
UKM00003740,2011-04-20,TMAX,225
NLE00113736,2015-12-02,TMIN,107
NLE00113676,2012-05-12,TMAX,97
UKM00003257,2013-06-25,TMIN,62
NLE00113676,2014-01-21,TMIN,58
NLE00113706,2010-10-15,TMAX,133
UK000003377,2010-04-08,TMIN,-11
UKW00035047,2014-05-19,TMAX,239
UKM00003257,2010-11-15,TMIN,0
NLE00113706,2015-08-23,TMAX,204
UKM00003590,2013-01-24,TMAX,5
UKM00003740,2010-09-17,TMIN,69
UK000003377,2008-10-30,TMIN,9
UKM00003257,2009-10-05,TMIN,-62
NLE00113670,2010-11-20,TMAX,90
NLE00113736,2015-06-15,TMAX,126
UK000000000,2011-07-07,TMAX,181
NLE00113736,2005-07-31,TMIN,140
NLE00113736,2009-01-25,TMAX,43
UK000003377,2006-07-09,TMAX,223
UK000003377,2013-11-16,TMIN,52
UKM00003772,2013-07-03,TMAX,215
UKM00003257,2005-04-26,TMIN,19
UKM00003590,2005-11-13,TMAX,105
UK000000000,2008-08-01,TMAX,207
UK000003377,2012-09-17,TMIN,110
NLE00113670,2015-06-15,TMIN,96
UKW00035047,2014-09-18,TMIN,162
NLE00113736,2005-08-25,TMAX,172
UKM00003740,2011-10-22,TMAX,133
NLE00113724,2014-08-05,TMIN,175
UK000003377,2014-02-03,TMIN,49
UK000000000,2013-06-11,TMAX,167
UKM00003740,2005-07-16,TMIN,101
UKM00003257,2013-05-09,TMAX,142
UK000003377,2008-10-21,TMIN,62
NLE00113670,2015-06-15,TMAX,121
UK000000000,2010-07-17,TMAX,209
UKM00003257,2010-02-18,TMIN,2
UKM00003772,2009-11-29,TMIN,55
UK000000000,2014-01-20,TMAX,72
UKM00003740,2008-11-11,TMAX,101
NLE00113676,2014-02-18,TMAX,93
UKM00003740,2014-06-23,TMAX,243
UKM00003590,2011-05-11,TMAX,168
UKM00003590,2010-08-09,TMIN,135
UK000000000,2013-08-05,TMAX,197
NLE00113706,2015-03-12,TMIN,58
NLE00113736,2011-04-24,TMAX,162
UK000003377,2008-01-14,TMIN,63
NLE00113670,2012-03-05,TMAX,64
NLE00113724,2007-10-29,TMAX,142
UKM00003257,2013-04-25,TMAX,117
UKW00035047,2013-09-29,TMIN,128
NLE00113670,2012-07-11,TMIN,119
NLE00113724,2009-01-23,TMAX,65
UKM00003590,2013-06-08,TMIN,83
UKM00003740,2009-06-21,TMAX,173
UK000000000,2005-10-04,TMIN,86
UKM00003740,2010-09-17,TMAX,162
UKM00003740,2014-02-10,TMAX,74
UKM00003590,2010-07-29,TMIN,115
NLE00113670,2012-02-11,TMIN,-13
UK000003377,2014-05-23,TMIN,108
UK000000000,2013-12-10,TMIN,34
UKM00003257,2014-01-22,TMAX,69
UKM00003772,2007-10-25,TMIN,0
NLE00113676,2014-05-11,TMAX,117
UK000003377,2006-07-09,TMIN,158
NLE00113676,2009-11-29,TMAX,121
UKM00003772,2007-05-28,TMIN,0
NLE00113706,2009-12-05,TMAX,105
UKM00003740,2014-06-23,TMIN,148
UK000003377,2014-02-03,TMAX,80
NLE00113736,2012-03-29,TMIN,71
UK000000000,2009-09-26,TMIN,89
UKM00003740,2011-10-22,TMIN,64
UK000000000,2011-01-14,TMIN,95
NLE00113736,2013-10-10,TMAX,134
UKM00003590,2011-05-11,TMIN,58
UKM00003740,2007-09-15,TMAX,193
UK000003377,2008-10-21,TMAX,108
NLE00113706,2015-05-06,TMIN,72
UK000003377,2009-01-09,TMAX,17
UKM00003772,2014-02-26,TMIN,29
NLE00113670,2015-06-16,TMAX,127
UK000000000,2012-08-19,TMAX,226
UKM00003590,2013-06-22,TMIN,109
NLE00113670,2013-01-17,TMIN,-11
UKM00003257,2009-06-11,TMIN,0
UKM00003740,2015-05-21,TMAX,171
NLE00113736,2015-12-20,TMIN,115
NLE00113736,2006-05-16,TMIN,102
NLE00113724,2006-04-13,TMIN,72
UKM00003590,2015-09-02,TMAX,180
UKM00003772,2012-01-29,TMIN,13
NLE00113676,2012-05-12,TMIN,70
UK000003377,2009-10-21,TMAX,140
NLE00113676,2014-05-11,TMIN,94
NLE00113736,2012-12-18,TMAX,88
NLE00113724,2008-06-29,TMAX,165
UKM00003257,2010-03-01,TMAX,71
UKW00035047,2011-06-17,TMIN,88
UKM00003257,2015-02-25,TMAX,97
UKM00003740,2014-05-15,TMIN,78
NLE00113670,2009-03-19,TMAX,69
UKM00003257,2009-10-05,TMAX,148
NLE00113676,2013-06-22,TMIN,117
UKM00003257,2015-02-25,TMIN,13
UKM00003772,2005-09-08,TMIN,145
UKM00003257,2008-03-02,TMAX,117
NLE00113670,2015-01-12,TMAX,92
UKW00035047,2014-06-21,TMIN,105
UK000000000,2012-08-19,TMIN,149
UK000000000,2007-01-28,TMIN,39
UKM00003772,2012-11-09,TMAX,115
UKM00003590,2006-06-30,TMAX,247
NLE00113676,2015-02-12,TMAX,76
UKM00003257,2007-05-02,TMIN,-16
UKM00003590,2009-11-29,TMIN,47
NLE00113670,2010-04-28,TMIN,90
NLE00113676,2014-03-11,TMAX,86
UKW00035047,2006-06-04,TMIN,78
UKM00003772,2015-07-30,TMAX,203
UK000003377,2008-05-13,TMIN,99
NLE00113706,2015-02-23,TMAX,69
NLE00113736,2007-10-13,TMIN,131
UK000003377,2013-09-12,TMIN,120
UKM00003740,2007-09-15,TMIN,69
UKM00003590,2014-08-05,TMAX,243
UKW00035047,2007-11-27,TMIN,0
UKM00003257,2009-06-11,TMAX,165
UK000003377,2006-11-12,TMAX,134
UKW00035047,2014-03-14,TMIN,19
UK000003377,2009-12-14,TMIN,19
UK000000000,2014-01-20,TMIN,-1
NLE00113724,2007-02-04,TMIN,35
UKM00003772,2012-12-18,TMAX,81
UK000003377,2010-12-24,TMAX,3
NLE00113736,2015-11-14,TMAX,146
NLE00113670,2012-02-11,TMAX,26
UKM00003590,2013-06-22,TMAX,180
UKM00003257,2007-05-02,TMAX,130
UKM00003740,2010-12-15,TMAX,43
NLE00113724,2009-11-17,TMIN,113
NLE00113670,2012-03-05,TMIN,44
NLE00113736,2015-11-14,TMIN,103
NLE00113736,2007-05-25,TMAX,192
UKM00003772,2009-02-12,TMAX,47
UK000000000,2007-08-07,TMIN,89
UKW00035047,2007-04-29,TMIN,0
NLE00113724,2006-04-13,TMAX,89
UKW00035047,2005-10-17,TMIN,0
UKM00003740,2007-02-14,TMAX,94
UK000003377,2013-03-13,TMAX,53
UKW00035047,2011-10-21,TMIN,29
NLE00113706,2015-02-23,TMIN,50
UK000003377,2012-02-11,TMAX,36
UK000000000,2010-07-17,TMIN,112
UKW00035047,2014-09-18,TMAX,224
UKM00003257,2009-09-06,TMAX,170
UK000003377,2008-02-22,TMAX,139
UKM00003590,2010-10-02,TMAX,163
UK000000000,2008-08-01,TMIN,136
NLE00113706,2013-08-18,TMAX,174
NLE00113736,2008-09-14,TMIN,124
NLE00113724,2010-02-26,TMIN,25
NLE00113736,2015-05-10,TMAX,141
NLE00113670,2013-04-23,TMAX,87
NLE00113724,2008-06-29,TMIN,135
UKM00003740,2013-08-14,TMAX,185
UK000003377,2012-02-11,TMIN,-126
UK000000000,2013-02-18,TMAX,98
NLE00113724,2011-02-07,TMAX,84
UKM00003257,2015-04-09,TMAX,176
NLE00113676,2011-12-17,TMIN,46
UKW00035047,2011-10-21,TMAX,147
NLE00113706,2014-01-23,TMAX,74
NLE00113706,2014-12-28,TMAX,76
NLE00113736,2008-08-29,TMIN,169
NLE00113670,2012-04-10,TMIN,64
NLE00113724,2014-03-28,TMIN,70
UK000003377,2007-05-03,TMIN,66
UKM00003257,2010-11-15,TMAX,75
NLE00113706,2011-08-06,TMIN,152
NLE00113736,2005-07-26,TMAX,161
NLE00113670,2013-09-12,TMAX,161
UK000000000,2007-08-18,TMIN,126
UKW00035047,2015-08-20,TMAX,211
UKM00003590,2006-06-30,TMIN,113
UK000003377,2007-05-03,TMAX,136
UKM00003590,2010-11-26,TMAX,6
UKW00035047,2012-03-28,TMAX,172
UKM00003772,2011-12-18,TMIN,-3
NLE00113676,2009-12-31,TMIN,30
UK000000000,2010-10-01,TMAX,160
UK000003377,2008-04-23,TMIN,71
NLE00113736,2010-05-17,TMIN,87
NLE00113724,2011-02-07,TMIN,60
NLE00113724,2009-01-23,TMIN,41
NLE00113736,2005-07-26,TMIN,141
NLE00113724,2010-10-31,TMIN,107
NLE00113670,2014-10-19,TMIN,146
NLE00113724,2007-10-29,TMIN,103
UK000000000,2006-10-13,TMIN,83
UKM00003257,2014-08-12,TMIN,117
NLE00113736,2006-05-16,TMAX,127
UK000003377,2015-07-18,TMAX,217
UK000003377,2008-09-07,TMAX,193
UKW00035047,2010-12-28,TMIN,12
UKM00003772,2009-04-08,TMIN,0
UKM00003590,2014-10-26,TMAX,144
NLE00113676,2014-01-21,TMAX,90
UKM00003740,2007-05-15,TMAX,169
UK000000000,2008-04-22,TMIN,44
NLE00113724,2006-09-08,TMIN,153
UKW00035047,2013-09-29,TMAX,160
UKW00035047,2007-03-25,TMIN,-8
UK000000000,2009-09-26,TMAX,183
NLE00113724,2006-05-14,TMIN,83
UK000003377,2010-10-28,TMIN,94
NLE00113724,2007-04-17,TMIN,87
NLE00113724,2012-10-13,TMIN,101
UKM00003772,2012-07-21,TMIN,117
UK000003377,2008-04-23,TMAX,136
NLE00113670,2015-06-14,TMIN,94
UK000000000,2013-12-10,TMAX,69
NLE00113670,2015-01-12,TMIN,70
UK000003377,2015-02-24,TMAX,82
UKM00003740,2013-08-14,TMIN,109
UK000000000,2012-07-19,TMIN,112
UKM00003740,2008-05-05,TMAX,195
NLE00113706,2012-11-25,TMIN,74
NLE00113706,2014-08-22,TMIN,121
UKM00003590,2014-03-12,TMAX,143
UK000000000,2007-08-18,TMAX,174
UK000003377,2005-09-13,TMAX,222
UKM00003772,2013-08-28,TMAX,247
UKM00003772,2015-08-21,TMAX,265
UKW00035047,2011-09-22,TMIN,116
UKM00003257,2014-01-22,TMIN,25
UK000000000,2012-07-19,TMAX,171
UK000000000,2012-10-27,TMIN,2
NLE00113736,2010-09-01,TMIN,145
UKW00035047,2014-05-19,TMIN,105
NLE00113736,2013-08-10,TMIN,158
UKM00003257,2013-11-11,TMIN,-21
NLE00113676,2009-11-29,TMIN,83
NLE00113724,2006-05-16,TMAX,116
UKM00003740,2005-08-09,TMAX,239
NLE00113670,2013-06-04,TMAX,105
UKM00003590,2013-06-08,TMAX,144
UKM00003772,2009-01-01,TMAX,35
NLE00113670,2010-05-31,TMAX,118
UKM00003740,2009-12-13,TMAX,54
NLE00113670,2012-07-11,TMAX,134
UKM00003772,2012-11-09,TMIN,78
NLE00113706,2014-12-28,TMIN,47
NLE00113670,2010-11-20,TMIN,64
NLE00113736,2013-10-10,TMIN,88
UKM00003772,2009-09-08,TMAX,281
NLE00113676,2011-12-17,TMAX,80
NLE00113736,2010-06-13,TMIN,112
UK000003377,2013-06-25,TMAX,192
NLE00113706,2012-06-17,TMIN,126
UKM00003740,2010-09-01,TMIN,76
NLE00113724,2006-11-12,TMAX,117
NLE00113706,2014-01-23,TMIN,41
UK000003377,2007-08-04,TMAX,237
UKM00003257,2013-11-11,TMAX,135
UK000003377,2015-03-21,TMIN,49
NLE00113706,2015-05-06,TMAX,108
UKM00003740,2010-12-15,TMIN,-10
NLE00113736,2005-07-31,TMAX,170
UK000003377,2012-09-17,TMAX,148
NLE00113736,2015-06-15,TMIN,115
UK000003377,2011-08-28,TMAX,167
NLE00113736,2009-01-25,TMIN,29
NLE00113670,2010-09-12,TMAX,161
UKM00003740,2005-07-16,TMAX,228
UK000003377,2015-07-18,TMIN,105
NLE00113724,2010-04-29,TMIN,87
UKM00003590,2010-08-09,TMAX,239
UK000003377,2006-09-03,TMIN,156
UKM00003257,2011-05-24,TMIN,74
NLE00113670,2014-10-19,TMAX,164
NLE00113724,2005-09-25,TMAX,175
UK000003377,2008-02-22,TMIN,79
UKM00003257,2014-12-04,TMIN,-39
UKM00003740,2015-11-27,TMAX,115
UKW00035047,2011-09-22,TMAX,189
UKM00003772,2007-10-25,TMAX,104
UK000000000,2010-12-18,TMIN,-49
NLE00113724,2005-07-22,TMIN,128
UKM00003590,2012-02-25,TMAX,91
NLE00113724,2010-03-27,TMAX,72
UKM00003772,2013-06-05,TMAX,215
UKM00003257,2012-08-17,TMAX,243
NLE00113724,2010-02-26,TMAX,69
NLE00113724,2006-12-17,TMAX,89
NLE00113736,2007-05-25,TMIN,124
NLE00113676,2014-03-11,TMIN,73
NLE00113670,2012-12-05,TMIN,-2
UK000003377,2009-10-21,TMIN,94
UKM00003590,2015-09-02,TMIN,84
UKM00003772,2014-07-20,TMAX,269
NLE00113724,2010-03-27,TMIN,58
UK000003377,2006-09-03,TMAX,231
NLE00113736,2010-06-13,TMAX,140
UK000003377,2005-09-13,TMIN,110
UK000000000,2010-12-18,TMAX,-32
UKM00003772,2010-07-08,TMAX,271
UKW00035047,2013-08-16,TMIN,143
NLE00113676,2014-04-25,TMAX,155
NLE00113706,2015-03-12,TMAX,77
UKM00003257,2012-08-17,TMIN,158
NLE00113736,2014-06-27,TMIN,142
UKM00003590,2015-07-12,TMAX,222
NLE00113676,2013-06-22,TMAX,137
NLE00113724,2006-05-16,TMIN,94
NLE00113736,2011-04-24,TMIN,96
UK000000000,2008-04-22,TMAX,169
NLE00113706,2014-06-02,TMIN,119
UKW00035047,2010-04-23,TMAX,120
NLE00113736,2007-12-20,TMAX,41
UK000000000,2005-10-04,TMAX,153
UK000000000,2006-10-14,TMAX,170
NLE00113676,2014-03-04,TMIN,73
UKM00003257,2012-10-17,TMIN,19
NLE00113724,2009-10-22,TMIN,95
UK000000000,2007-08-03,TMAX,222
NLE00113736,2005-04-12,TMAX,97
NLE00113736,2006-02-14,TMAX,68
NLE00113724,2014-12-28,TMIN,42
NLE00113724,2013-07-26,TMIN,158
UKM00003590,2008-11-11,TMIN,0
NLE00113670,2012-10-09,TMIN,105
NLE00113724,2013-07-24,TMAX,179
NLE00113670,2013-11-30,TMAX,92
NLE00113736,2006-06-05,TMAX,125
UK000000000,2010-10-23,TMIN,71
NLE00113736,2015-03-12,TMIN,50
NLE00113670,2013-07-11,TMAX,146
UKM00003590,2007-04-10,TMIN,-1
NLE00113736,2011-12-17,TMAX,84
UKM00003257,2006-07-02,TMAX,267
NLE00113724,2008-05-05,TMAX,123
NLE00113736,2008-08-30,TMIN,167
NLE00113706,2015-04-11,TMIN,61
UKM00003772,2010-10-15,TMAX,131
UKM00003257,2006-12-27,TMAX,46
NLE00113676,2011-05-11,TMAX,140
UKM00003740,2012-09-15,TMAX,180
NLE00113724,2009-10-22,TMAX,141
NLE00113676,2009-03-31,TMIN,70
UKM00003590,2014-01-21,TMIN,-37
NLE00113670,2013-07-11,TMIN,122
UKM00003257,2005-05-19,TMAX,183
UKM00003590,2014-07-17,TMAX,250
UK000000000,2013-08-05,TMIN,152
UK000000000,2011-12-15,TMAX,36
UK000000000,2008-04-21,TMAX,140
NLE00113676,2011-04-04,TMAX,102
UK000000000,2009-01-01,TMIN,-29
UKM00003590,2013-04-28,TMIN,-6
NLE00113706,2015-04-11,TMAX,98
NLE00113670,2015-05-08,TMIN,80
UK000003377,2007-04-10,TMIN,79
UK000003377,2007-07-01,TMIN,139
UKW00035047,2015-07-07,TMIN,136
UKM00003740,2009-09-11,TMAX,192
UK000000000,2014-02-02,TMIN,30
NLE00113724,2007-11-02,TMIN,135
NLE00113670,2012-09-28,TMIN,122
NLE00113724,2008-05-05,TMIN,108
NLE00113736,2008-08-30,TMAX,202
NLE00113676,2010-11-19,TMIN,86
NLE00113670,2010-09-12,TMIN,145
NLE00113676,2009-03-31,TMAX,114
NLE00113724,2013-07-26,TMAX,179
NLE00113676,2015-11-04,TMAX,162
UK000003377,2007-04-10,TMAX,147
NLE00113676,2010-11-19,TMAX,100
UKM00003257,2012-11-11,TMAX,100
NLE00113676,2014-02-18,TMIN,82
NLE00113724,2007-11-02,TMAX,142
NLE00113676,2011-02-01,TMIN,12
NLE00113676,2011-02-01,TMAX,86
NLE00113736,2011-08-27,TMAX,167
NLE00113706,2014-05-20,TMIN,129
NLE00113676,2011-03-20,TMIN,55
UKM00003740,2006-05-17,TMIN,99
NLE00113670,2011-09-16,TMAX,148
UK000003377,2012-05-05,TMAX,92
UK000000000,2012-06-05,TMIN,53
UKW00035047,2012-02-11,TMAX,2
NLE00113736,2015-11-19,TMAX,141
UKM00003772,2013-06-27,TMIN,119
UKM00003257,2011-10-21,TMAX,140
NLE00113724,2007-12-13,TMIN,53
UKM00003590,2006-04-14,TMIN,40
UKM00003740,2009-06-11,TMIN,79
UKW00035047,2010-08-25,TMIN,111
NLE00113736,2008-10-31,TMAX,81
UKW00035047,2010-07-12,TMIN,147
NLE00113706,2011-01-03,TMIN,16
UK000003377,2009-11-17,TMAX,131
NLE00113724,2007-12-13,TMAX,84
UK000000000,2010-11-28,TMAX,13
UKM00003590,2007-07-29,TMAX,194
UK000000000,2012-07-10,TMIN,119
NLE00113724,2006-05-17,TMAX,120
NLE00113736,2006-07-18,TMIN,184
UKM00003590,2014-12-31,TMIN,-32
UKW00035047,2015-04-10,TMIN,29
NLE00113736,2006-03-10,TMIN,46
UK000000000,2005-01-01,TMIN,44
UKM00003772,2010-11-28,TMAX,16
UK000003377,2011-04-15,TMAX,178
NLE00113724,2006-05-04,TMIN,100
UKM00003257,2012-10-17,TMAX,154
NLE00113736,2006-07-18,TMAX,208
UKW00035047,2008-07-10,TMAX,212
UKM00003257,2006-12-20,TMIN,-54
NLE00113736,2007-10-28,TMAX,138
UKW00035047,2012-02-11,TMIN,-63
UK000000000,2007-01-12,TMAX,131
UKM00003257,2005-11-10,TMAX,151
NLE00113724,2005-11-03,TMIN,145
UK000003377,2010-12-24,TMIN,-30
NLE00113724,2007-11-27,TMIN,74
UKM00003740,2010-08-20,TMIN,141
UKM00003590,2011-12-17,TMAX,36
UKM00003740,2010-08-20,TMAX,191
NLE00113724,2007-11-27,TMAX,100
